Location ID,location_name,Care Home?,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Location Local Authority,Location Region,Location ONSPD CCG Code,Location ONSPD CCG,Location Commissioning CCG Code,Location Commissioning CCG Name,Service / Population Group,Domain,Latest Rating,Publication Date,Report Type,Inherited Rating (Y/N),URL,Provider ID,provider_name,Brand ID,Brand Name,std_name
1-463247119,Global House,N,Independent Healthcare Org,Community health - NHS & Independent,10 Station Approach,Hayes,Bromley,BR2 7EH,Bromley,London,E38000023,NHS Bromley CCG,NA,NA,Community health services for adults,Safe,Good,2017-06-07T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-463247119,1-216234545,Bromley Healthcare Community Interest Company,-,-,BROMLEY HEALTHCARE CIC
1-6209692775,Goldthorpe Medical Centre,N,Primary Medical Services,GP Practices,Goldthorpe Green,Goldthorpe,Rotherham,S63 9EH,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,02P,NHS Barnsley CCG,"Families, children and young people",Overall,Good,2019-05-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-6209692775,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
1-2243774827,Grange Ave,Y,Social Care Org,Residential social care,41 Grange Avenue,Levenshulme,Manchester,M19 2FZ,Manchester,North West,E38000217,NHS Manchester CCG,NA,NA,Overall,Safe,Good,2019-07-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2243774827,1-438920790,Future Directions CIC,-,-,FUTURE DIRECTIONS CIC
1-2078094412,Granville,Y,Social Care Org,Residential social care,10 Victoria Road,Eccles,Manchester,M30 9HB,Salford,North West,E38000143,NHS Salford CCG,NA,NA,Overall,Safe,Good,2017-07-22T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2078094412,1-2024594488,Aspire: for Intelligent Care and Support C.I.C,-,-,ASPIRE: FOR INTELLIGENT CARE AND SUPPORT CIC
1-3213236325,Great Western Surgery,N,Primary Medical Services,GP Practices,Farriers Close,NA,Swindon,SN1 2QU,Swindon,South West,E38000181,NHS Swindon CCG,12D,NHS Swindon CCG,"Families, children and young people",Overall,Requires improvement,2018-08-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3213236325,1-199788641,Carfax Health Enterprise Community Interest Company,-,-,CARFAX HEALTH ENTERPRISE CIC
1-3832409946,Green Elms Surgery,N,Primary Medical Services,GP Practices,32 Crossways,Jaywick,Clacton On Sea,CO15 2NB,Essex,East of England,E38000117,NHS North East Essex CCG,06T,NHS North East Essex CCG,"Families, children and young people",Overall,Good,2017-11-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3832409946,1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),-,-,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC)
1-2631804922,Grenfell House,N,Social Care Org,Community based adult social care services,Widnes Road,NA,Widnes,WA8 6AX,Halton,North West,E38000068,NHS Halton CCG,NA,NA,Overall,Safe,Good,2018-03-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2631804922,1-1387303084,PossAbilities C.I.C,-,-,POSSABILITIES CIC
1-1678286628,Harelands House,Y,Social Care Org,Residential social care,Samson Street,Belfield,Rochdale,OL16 2XW,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",NA,NA,Overall,Safe,Good,2018-03-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1678286628,1-1387303084,PossAbilities C.I.C,-,-,POSSABILITIES CIC
1-1724904735,Has 2 be Happy Care,N,Social Care Org,Community based adult social care services,Gatehouse,"White Cross Industrial Estate, South Road",Lancaster,LA1 4XQ,Lancashire,North West,E38000228,NHS Morecambe Bay CCG,NA,NA,Overall,Safe,Good,2019-04-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1724904735,1-1590483528,E2Inspire C.I.C.,-,-,E2INSPIRE CIC
1-540250898,Hawthorn Medical Centre,N,Primary Medical Services,GP Practices,"Unit K, Fallowfield Retail Park, Birchfields Road",NA,Manchester,M14 6FS,Manchester,North West,E38000217,NHS Manchester CCG,14L,NHS Manchester CCG,"Families, children and young people",Overall,Good,2017-06-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-540250898,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-424027753,Hestia Care at Home,N,Social Care Org,Community based adult social care services,"Room 7, Leatside Surgery",Babbage Road,Totnes,TQ9 5JA,Devon,South West,E38000230,NHS Devon CCG,NA,NA,Overall,Safe,Good,2019-05-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-424027753,1-398661339,Hestia Care at Home CIC,-,-,HESTIA CARE AT HOME CIC
1-3233736368,Highfield Resource Centre,Y,Social Care Org,Residential social care,Wawne Road,Sutton On Hull,Hull,HU7 4YG,"Kingston upon Hull, City of",Yorkshire and The Humber,E38000085,NHS Hull CCG,NA,NA,Overall,Safe,Good,2018-04-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3233736368,1-191582971,City Health Care Partnership CIC,BD256,BRAND City Health Care Partnership CIC,CITY HEALTH CARE PARTNERSHIP CIC
1-718554672,Hill Top Surgery,N,Primary Medical Services,GP Practices,Fitton Hill Neighbourhood Centre,Fircroft Road,Oldham,OL8 2QD,Oldham,North West,E38000135,NHS Oldham CCG,00Y,NHS Oldham CCG,"Families, children and young people",Overall,Outstanding,2016-11-16T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-718554672,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-1998181488,Hollinwood Medical Practice,N,Primary Medical Services,GP Practices,1 Clive Street,NA,Oldham,OL8 3TR,Oldham,North West,E38000135,NHS Oldham CCG,00Y,NHS Oldham CCG,"Families, children and young people",Overall,Outstanding,2018-05-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1998181488,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-939450997,Hollyfield House,N,Social Care Org,Community based adult social care services,22 Hollyfield Road,NA,Surbiton,KT5 9AL,Kingston upon Thames,London,E38000090,NHS Kingston CCG,NA,NA,Overall,Safe,Good,2018-08-22T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-939450997,1-328569033,Your Healthcare Community Interest Company,-,-,YOUR HEALTHCARE CIC
1-2024421515,Home Fairy - Derby,N,Social Care Org,Community based adult social care services,75 Copes Way,Chaddesden,Derby,DE21 4NU,Derby,East Midlands,E38000229,NHS Derby and Derbyshire CCG,NA,NA,Overall,Safe,Good,2018-05-25T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2024421515,1-1989064873,Home Fairy CIC,-,-,HOME FAIRY CIC
1-5627446217,Hospice at Home,N,Social Care Org,Community based adult social care services,St Luke’s Hospice,"Fobbing Farm, Nethermayne",Basildon,SS16 5NJ,Essex,East of England,E38000007,NHS Basildon and Brentwood CCG,NA,NA,Overall,Safe,Good,2019-08-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5627446217,1-101641089,SPDNS Nurse Care Community Interest Company,-,-,SPDNS NURSE CARE CIC
1-1488607849,Ideal Community Care Solutions C.I.C,N,Social Care Org,Community based adult social care services,11 Redcombe Lane,NA,Brigg,DN20 8AU,North Lincolnshire,Yorkshire and The Humber,E38000122,NHS North Lincolnshire CCG,NA,NA,Overall,Safe,Good,2017-09-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1488607849,1-1357383002,Ideal Community Care Solutions C.I.C.,-,-,IDEAL COMMUNITY CARE SOLUTIONS CIC
1-572021031,Inclusion Healthcare Social Enterprise CIC,N,Primary Medical Services,GP Practices,Charles Berry House,45 East Bond Street,Leicester,LE1 4SX,Leicester,East Midlands,E38000097,NHS Leicester City CCG,04C,NHS Leicester City CCG,Overall,Safe,Outstanding,2015-02-05T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-572021031,1-199708606,Inclusion Healthcare Social Enterprise CIC,-,-,INCLUSION HEALTHCARE SOCIAL ENTERPRISE CIC
1-3045369919,John Street Medical Practice,N,Primary Medical Services,GP Practices,1 John Street,NA,Oldham,OL8 1DF,Oldham,North West,E38000135,NHS Oldham CCG,00Y,NHS Oldham CCG,"Families, children and young people",Overall,Good,2017-08-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3045369919,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-2026234953,Just Ask Domestic Services Community Interest Company,N,Social Care Org,Community based adult social care services,C/O CHOICE BASKETS,The Sidings Business Park,Skipton,BD23 1TB,North Yorkshire,Yorkshire and The Humber,E38000001,"NHS Airedale, Wharfedale and Craven CCG",NA,NA,Overall,Safe,Good,2017-12-20T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2026234953,1-2002075597,Just Ask Domestic Services Community Interest Company,-,-,JUST ASK DOMESTIC SERVICES CIC
1-3232472925,Karrek Community,N,Social Care Org,Community based adult social care services,Main Office Enterprise House,"St Austell Bay Business Park, Par Moor Road",St Austell,PL25 3RF,Cornwall,South West,E38000089,NHS Kernow CCG,NA,NA,Overall,Safe,Good,2018-05-22T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3232472925,1-1622257490,Karrek Community CIC,-,-,KARREK COMMUNITY CIC
1-2106710184,Kidsgrove Care Solutions -  Arbour Street,Y,Social Care Org,Residential social care,52 Arbour Street,Talke Pits,Stoke On Trent,ST7 1QW,Staffordshire,West Midlands,E38000126,NHS North Staffordshire CCG,NA,NA,Overall,Safe,Good,2019-01-19T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2106710184,1-2061440179,Kidsgrove Care Solutions CIC,-,-,KIDSGROVE CARE SOLUTIONS CIC
1-1949710807,Kings Lynn Supported Living,N,Social Care Org,Community based adult social care services,South Wootton Community Hub,Grimston Road,Kings Lynn,PE30 3HU,Norfolk,East of England,E38000203,NHS West Norfolk CCG,NA,NA,Overall,Safe,Good,2017-08-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1949710807,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-3764334810,Kirkholt Medical Practice,N,Primary Medical Services,GP Practices,Queens Drive,NA,Rochdale,OL11 2NP,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",01D,"NHS Heywood, Middleton and Rochdale CCG","Families, children and young people",Overall,Good,2018-11-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3764334810,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-4436780475,Kirkley Mill Surgery,N,Primary Medical Services,GP Practices,Clifton Road,NA,Lowestoft,NR33 0HF,Suffolk,East of England,E38000063,NHS Great Yarmouth and Waveney CCG,06M,NHS Great Yarmouth and Waveney CCG,"Families, children and young people",Overall,Good,2019-09-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4436780475,1-140317426,Suffolk GP Federation C.I.C.,-,-,SUFFOLK GP FEDERATION CIC
1-1114338193,Lauriston House,N,Independent Healthcare Org,Community health - NHS & Independent,Bickley Park Road,NA,Bromley,BR1 2AZ,Bromley,London,E38000023,NHS Bromley CCG,NA,NA,Community health inpatient services,Safe,Good,2017-03-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1114338193,1-216234545,Bromley Healthcare Community Interest Company,-,-,BROMLEY HEALTHCARE CIC
1-2171302649,Leighton House,Y,Social Care Org,Residential social care,1 Leighton Avenue,Littleborough,Rochdale,OL15 0BW,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",NA,NA,Overall,Safe,Good,2018-03-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2171302649,1-1387303084,PossAbilities C.I.C,-,-,POSSABILITIES CIC
1-2228037860,Litfield House Medical Centre,N,Independent Healthcare Org,Independent consulting doctors,1 Litfield Place,Clifton Down,Bristol,BS8 3LS,"Bristol, City of",South West,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",NA,NA,Overall,Safe,Requires improvement,2019-07-18T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2228037860,1-2131057663,National Centre for Integrative Medicine Community Interest Company,-,-,NATIONAL CENTRE FOR INTEGRATIVE MEDICINE CIC
1-1047785322,Long Stratton Supported Living,N,Social Care Org,Community based adult social care services,26 Depwade Court,Long Stratton,Norwich,NR15 2XY,Norfolk,East of England,E38000219,NHS South Norfolk CCG,NA,NA,Overall,Safe,Good,2019-07-13T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047785322,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-2776087983,Loughborough Urgent Care Centre,N,Primary Medical Services,Urgent care services & mobile doctors,Hospital Way,NA,Loughborough,LE11 5JY,Leicestershire,East Midlands,E38000201,NHS West Leicestershire CCG,NA,NA,Overall,Safe,Good,2019-04-23T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2776087983,1-199800254,DHU Health Care C.I.C.,-,-,DHU HEALTH CARE CIC
1-1040390924,MCH House,N,Independent Healthcare Org,Community health - NHS & Independent,Bailey Drive,Gillingham Business Park,Gillingham,ME8 0PZ,Medway,South East,E38000104,NHS Medway CCG,NA,NA,Community health services for adults,Safe,Good,2017-06-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1040390924,1-184500761,Medway Community Healthcare C.I.C,-,-,MEDWAY COMMUNITY HEALTHCARE CIC
1-4890749546,Maids Care CIC,N,Social Care Org,Community based adult social care services,Torbay Innovation Centres,Lymington Road,Torquay,TQ1 4BD,Torbay,South West,E38000230,NHS Devon CCG,NA,NA,Overall,Safe,Good,2019-04-25T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4890749546,1-4591081992,Maids Care CIC,-,-,MAIDS CARE CIC
1-1785258045,Martello Health Centre,N,Primary Medical Services,GP Practices,20 Chapel Road,Dymchurch,Romney Marsh,TN29 0TD,Kent,South East,E38000156,NHS South Kent Coast CCG,10A,NHS South Kent Coast CCG,"Families, children and young people",Overall,Good,2017-06-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1785258045,1-1309497424,Invicta Health Community Interest Company,-,-,INVICTA HEALTH CIC
1-109787439,Meadoway Homes Limited - 613 Barking Road,Y,Social Care Org,Residential social care,613 Barking Road,Plaistow,London,E13 9EZ,Newham,London,E38000113,NHS Newham CCG,NA,NA,Overall,Safe,Good,2017-05-25T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-109787439,1-101652990,Meadoway Homes CIC,-,-,MEADOWAY HOMES CIC
1-540250390,Middleton Health Centre,N,Primary Medical Services,GP Practices,"Unit F1, Middleton Shopping Centre","Limetrees Road, Middleton",Manchester,M24 4EL,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",01D,"NHS Heywood, Middleton and Rochdale CCG","Families, children and young people",Overall,Outstanding,2016-06-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-540250390,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-1958383422,Mosslands Care and Support,N,Social Care Org,Community based adult social care services,12 Aldewood Close,Gorse Covert,Warrington,WA3 6UW,Warrington,North West,E38000194,NHS Warrington CCG,NA,NA,Overall,Safe,Good,2018-12-07T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1958383422,1-1839748163,Catalyst Choices Community Interest Company,-,-,CATALYST CHOICES CIC
1-3552850596,N1C,N,Social Care Org,Community based adult social care services,Plimsoll Building,N1C CENTRE Handyside Street,London,N1C 4BQ,Camden,London,E38000027,NHS Camden CCG,NA,NA,Overall,Safe,Good,2018-04-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3552850596,1-3155210831,Eazy Innovations C.I.C.,-,-,EAZY INNOVATIONS CIC
1-4000386467,NEDCare Community Interest Company,N,Social Care Org,Community based adult social care services,"Moretonhampstead & District Hospital, Ford Street",Moretonhampstead,Newton Abbot,TQ13 8LN,Devon,South West,E38000230,NHS Devon CCG,NA,NA,Overall,Safe,Good,2018-07-28T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4000386467,1-3649613304,Nedcare Community Interest Company,-,-,NEDCARE CIC
1-216720327,NHS Urgent Care Centre,N,Primary Medical Services,Urgent care services & mobile doctors,Seaton House,City Link,Nottingham,NG2 4LA,Nottingham,East Midlands,E38000132,NHS Nottingham City CCG,NA,NA,Overall,Safe,Good,2017-02-13T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-216720327,1-186610815,Nottingham Citycare Partnership CIC,-,-,NOTTINGHAM CITYCARE PARTNERSHIP CIC
1-1741218008,North Yorkshire Horizons,N,Independent Healthcare Org,Community substance misuse,5 The Applegarth,NA,Northallerton,DL7 8LZ,North Yorkshire,Yorkshire and The Humber,E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",NA,NA,Overall,Safe,Outstanding,2019-02-07T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1741218008,1-183173152,Spectrum Community Health C.I.C.,-,-,SPECTRUM COMMUNITY HEALTH CIC
1-1047798828,Norwich Supported Living,N,Social Care Org,Community based adult social care services,c/o Sprowston Hub,Aslake Close,Norwich,NR7 8ET,Norfolk,East of England,E38000218,NHS Norwich CCG,NA,NA,Overall,Safe,Good,2019-03-14T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798828,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-5751058821,OWLS West Lancashire GP Federation,N,Primary Medical Services,Out of hours,20 Dingle Road,Upholland,Skelmersdale,WN8 0EN,Lancashire,North West,E38000200,NHS West Lancashire CCG,NA,NA,Overall,Safe,Good,2019-05-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5751058821,1-199795559,Out Of Hours West Lancashire C.I.C.,-,-,OUT OF HOURS WEST LANCASHIRE CIC
1-6581082314,Oadby Urgent Care Centre,N,Primary Medical Services,Urgent care services & mobile doctors,18 The Parade,NA,Oadby,LE2 5BJ,Leicestershire,East Midlands,E38000051,NHS East Leicestershire and Rutland CCG,NA,NA,Overall,Safe,Good,2017-06-05T00:00:00Z,Location,Y,http://www.cqc.org.uk/location/1-6581082314,1-199800254,DHU Health Care C.I.C.,-,-,DHU HEALTH CARE CIC
1-2515027764,Oak Trees (Respite),Y,Social Care Org,Residential social care,26 Norfolk Drive,NA,Attleborough,NR17 1QW,Norfolk,East of England,E38000219,NHS South Norfolk CCG,NA,NA,Overall,Safe,Good,2017-06-07T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2515027764,1-2490291135,Empanda Care & Support Ltd CIC,-,-,EMPANDA CARE & SUPPORT LTD CIC
1-1020208748,Park and Calder Community Practice,N,Primary Medical Services,GP Practices,Horne Street Health Centre,Hanson Lane,Halifax,HX1 5UA,Calderdale,Yorkshire and The Humber,E38000025,NHS Calderdale CCG,02T,NHS Calderdale CCG,"Families, children and young people",Overall,Good,2016-06-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1020208748,1-256729774,Locala Community Partnerships C.I.C.,BD329,BRAND Locala,LOCALA COMMUNITY PARTNERSHIPS CIC
1-4072161792,Paul Clarke Home,Y,Social Care Org,Residential social care,Chatterley House,Chatterley Road,Stoke On Trent,ST6 4PX,Stoke-on-Trent,West Midlands,E38000175,NHS Stoke on Trent CCG,NA,NA,Overall,Safe,Good,2019-03-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4072161792,1-2780913198,Paul Clarke (Staffordshire) Community Interest Company,-,-,PAUL CLARKE (STAFFORDSHIRE) CIC
1-4753583815,Peggy's World CiC,N,Social Care Org,Community based adult social care services,145 Cherry Grove,NA,Scunthorpe,DN16 2TH,North Lincolnshire,Yorkshire and The Humber,E38000122,NHS North Lincolnshire CCG,NA,NA,Overall,Safe,Good,2019-01-05T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4753583815,1-4525948749,Peggy's World CiC,-,-,PEGGY'S WORLD CIC
1-1047798837,Personal Assistant Services East,N,Social Care Org,Community based adult social care services,"Personal Assistant Services East, Great Yarmouth Community Hub",Suffolk Road,Great Yarmouth,NR31 0LJ,Norfolk,East of England,E38000063,NHS Great Yarmouth and Waveney CCG,NA,NA,Overall,Safe,Requires improvement,2019-06-28T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798837,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-1047798885,Personal Assistant Services North,N,Social Care Org,Community based adult social care services,c/o Sprowston Hub,Aslake Close,Norwich,NR7 8ET,Norfolk,East of England,E38000218,NHS Norwich CCG,NA,NA,Overall,Safe,Good,2019-08-22T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798885,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-1047798914,Personal and Community Support Services Personal Assistant Services South,N,Social Care Org,Community based adult social care services,c/o Attleborough Hub,Station Road,Attleborough,NR17 2AT,Norfolk,East of England,E38000219,NHS South Norfolk CCG,NA,NA,Overall,Safe,Good,2019-06-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798914,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-1047798800,Pine Lodge,Y,Social Care Org,Residential social care,Repps with Bastwick,High Road,Great Yarmouth,NR29 5JH,Norfolk,East of England,E38000063,NHS Great Yarmouth and Waveney CCG,NA,NA,Overall,Safe,Good,2019-07-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798800,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-780475340,Rani Care C.I.C.,N,Social Care Org,Community based adult social care services,43 Chandos Gardens,NA,Leeds,LS8 1LP,Leeds,Yorkshire and The Humber,E38000225,NHS Leeds CCG,NA,NA,Overall,Safe,Requires improvement,2019-06-19T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-780475340,1-752819475,Rani Care C.I.C.,-,-,RANI CARE CIC
1-1629518956,Reach Learning Disability Care C.I.C,N,Social Care Org,Community based adult social care services,Hawtonville Community Centre,St. Marys Gardens,Newark,NG24 4JQ,Nottinghamshire,East Midlands,E38000109,NHS Newark and Sherwood CCG,NA,NA,Overall,Safe,Good,2018-12-18T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1629518956,1-289131576,Reach Learning Disability Care C.I.C.,-,-,REACH LEARNING DISABILITY CARE CIC
1-5319980468,Richmond House Social Care Services CIC,N,Social Care Org,Community based adult social care services,96 Main Street,North Frodingham,Driffield,YO25 8LJ,East Riding of Yorkshire,Yorkshire and The Humber,E38000052,NHS East Riding of Yorkshire CCG,NA,NA,Overall,Safe,Good,2019-08-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5319980468,1-4810888111,Richmond House Social Care Services CIC,-,-,RICHMOND HOUSE SOCIAL CARE SERVICES CIC
1-6716835979,SPCT Practices - Eccles Gateway,N,Primary Medical Services,GP Practices,Eccles Gateway,"28 Barton Lane, Eccles",Manchester,M30 0TU,Salford,North West,E38000143,NHS Salford CCG,01G,NHS Salford CCG,"Families, children and young people",Overall,Good,2016-07-07T00:00:00Z,Location,Y,http://www.cqc.org.uk/location/1-6716835979,1-2103767480,Salford Primary Care Together CIC,-,-,SALFORD PRIMARY CARE TOGETHER CIC
1-5026919587,SPCT Practices - Little Hulton,N,Independent Healthcare Org,GP Practices,Haysbrook Avenue,Worsley,Manchester,M28 0AY,Salford,North West,E38000143,NHS Salford CCG,NA,NA,"Families, children and young people",Overall,Good,2019-06-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5026919587,1-2103767480,Salford Primary Care Together CIC,-,-,SALFORD PRIMARY CARE TOGETHER CIC
1-122233502,SPDNS Nurse Care Community Interest Company (CIC),N,Social Care Org,Community based adult social care services,SPDNS House,449 London Road,Westcliff On Sea,SS0 9LG,Southend-on-Sea,East of England,E38000168,NHS Southend CCG,NA,NA,Overall,Safe,Good,2017-01-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-122233502,1-101641089,SPDNS Nurse Care Community Interest Company,-,-,SPDNS NURSE CARE CIC
1-280686795,Sahan Cares C.I.C,N,Social Care Org,Community based adult social care services,18-20 East Avenue,NA,Hayes,UB3 2HP,Hillingdon,London,E38000082,NHS Hillingdon CCG,NA,NA,Overall,Safe,Good,2018-04-26T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-280686795,1-220623307,Sahan Cares C.I.C.,-,-,SAHAN CARES CIC
1-3853936268,Sentinel Healthcare South West CIC,N,Independent Healthcare Org,Independent consulting doctors,6 Research Way,Plymouth Science Park,Plymouth,PL6 8BU,Plymouth,South West,E38000230,NHS Devon CCG,NA,NA,Overall,Safe,Good,2019-07-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3853936268,1-199812926,Sentinel Healthcare South West CIC,-,-,SENTINEL HEALTHCARE SOUTH WEST CIC
1-1822898291,Silver Tree Home Support Community Interest Company,N,Social Care Org,Community based adult social care services,"Unit 25, The Dudson Centre",Hope Street,Stoke On Trent,ST1 5DD,Stoke-on-Trent,West Midlands,E38000175,NHS Stoke on Trent CCG,NA,NA,Overall,Safe,Good,2019-06-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1822898291,1-527806966,Silver Tree Home Support Community Interest Company,-,-,SILVER TREE HOME SUPPORT CIC
1-968901596,Sisters Care Service Limited,N,Social Care Org,Community based adult social care services,"Womens Business Hub, Southside Business Centre",249A  Ladypool Road,Birmingham,B12 8LF,Birmingham,West Midlands,E38000220,NHS Birmingham and Solihull CCG,NA,NA,Overall,Safe,Good,2017-06-08T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-968901596,1-945899283,Sisters Care Services CIC,-,-,SISTERS CARE SERVICES CIC
1-674400771,Sparcells Surgery,N,Primary Medical Services,GP Practices,Midwinter Close,Peatmoor,Swindon,SN5 5AN,Swindon,South West,E38000181,NHS Swindon CCG,12D,NHS Swindon CCG,"Families, children and young people",Overall,Good,2019-01-09T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-674400771,1-199788641,Carfax Health Enterprise Community Interest Company,-,-,CARFAX HEALTH ENTERPRISE CIC
1-128046455,Spectrum Continuing Care CIC,N,Social Care Org,Community based adult social care services,9-19 Rose Road,NA,Southampton,SO14 6TE,Southampton,South East,E38000167,NHS Southampton CCG,NA,NA,Overall,Safe,Good,2019-09-28T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-128046455,1-101657333,Spectrum Continuing Care CIC,-,-,SPECTRUM CONTINUING CARE CIC
1-2018369036,Springs Of Joy Care Solution (SOJ) C.I.C,N,Social Care Org,Community based adult social care services,91 Isandula Road,Basford,Nottingham,NG7 7ER,Nottingham,East Midlands,E38000132,NHS Nottingham City CCG,NA,NA,Overall,Safe,Good,2018-06-26T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2018369036,1-1607628126,Springs Of Joy Care Solution (SOJ) C.I.C,-,-,SPRINGS OF JOY CARE SOLUTION (SOJ) CIC
1-3496772045,St Pauls Way Medical Centre,N,Primary Medical Services,GP Practices,"First Floor, 11 Selsey Street",NA,London,E14 7LJ,Tower Hamlets,London,E38000186,NHS Tower Hamlets CCG,08V,NHS Tower Hamlets CCG,"Families, children and young people",Overall,Outstanding,2018-02-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3496772045,1-199732708,MEEBBB Health CIC,-,-,MEEBBB HEALTH CIC
